team,rating
Alaves,1540.26039105954
Albacete,1461.2908629006508
Almeria,1391.1433931877853
Arsenal,1863.02322145016
Aston Villa,1676.8227073875723
Ath Bilbao,1588.7926745286452
Ath Madrid,1737.94402590036
Barcelona,1930.2137301346709
Barnsley,1421.5632145241943
Betis,1667.5502144664606
Birmingham,1483.604423915835
Blackburn,1460.8146681070866
Blackpool,1474.1675892256933
Bolton,1460.4520582773546
Bournemouth,1686.1112988618006
Bradford,1382.591452331015
Brentford,1634.0334337079062
Brighton,1670.5529459863956
Burnley,1394.8945510768815
Cadiz,1486.5258828711071
Cardiff,1398.6831000193242
Celta,1604.0893857906674
Charlton,1455.0996015837568
Chelsea,1654.6189105113788
Compostela,1503.889671315646
Cordoba,1374.9743912450483
Coventry,1440.7762764827892
Crystal Palace,1604.9588955979698
Derby,1290.767840868254
Eibar,1474.728860680956
Elche,1507.8156324135646
Espanol,1527.7875054719552
Everton,1606.711817830996
Extremadura,1454.9990328341858
Fulham,1601.003980596179
Getafe,1559.9794785287168
Gimnastic,1424.9693728367583
Girona,1540.5640333555532
Granada,1403.3337112021866
Hercules,1411.9581485861047
Huddersfield,1346.216524247441
Huesca,1486.0528999793291
Hull,1444.782643094081
Ipswich,1407.67522013433
La Coruna,1436.566675613558
Las Palmas,1437.0430042252292
Leeds,1583.0664384501224
Leganes,1504.2390423116085
Leicester,1419.3279598698807
Lerida,1446.1242058512562
Levante,1550.702318558793
Liverpool,1744.8565433011015
Logrones,1296.6257970591212
Luton,1438.5585191320092
Malaga,1420.7921024308955
Mallorca,1532.2617090871538
Man City,1864.4987197588928
Man United,1704.257845963897
Merida,1441.903368708373
Middlesbrough,1417.437417974034
Murcia,1390.6346009128197
Newcastle,1649.4766658177743
Norwich,1337.271030239792
Nott'm Forest,1629.9645121574586
Numancia,1411.5790658393769
Oldham,1415.0432237915606
Osasuna,1555.2971015840606
Oviedo,1454.4319786048638
Portsmouth,1448.1852369478345
QPR,1429.6339433756352
Reading,1422.9857473866944
Real Madrid,1852.3086509468817
Recreativo,1444.5297984755198
Salamanca,1383.942030524627
Santander,1406.154983263343
Sevilla,1520.1161360787748
Sheffield United,1332.7055660311296
Sheffield Weds,1424.7245441489802
Sociedad,1574.3244958151406
Southampton,1316.0347309345836
Sp Gijon,1452.030294398093
Stoke,1477.581739994146
Sunderland,1540.5963973005455
Swansea,1498.1000870740038
Swindon,1385.3834962963217
Tenerife,1444.0104930403577
Tottenham,1533.786931725589
Valencia,1584.1680060222682
Valladolid,1336.3720040677886
Vallecano,1592.8319245731868
Villareal,1443.2557219435907
Villarreal,1701.1243444607992
Watford,1380.6719289313592
West Brom,1428.5384229307292
West Ham,1540.7155506325682
Wigan,1499.1273243010485
Wimbledon,1396.3977223131865
Wolves,1448.1484887177453
Xerez,1470.6904237690374
Zaragoza,1459.132054299564
