team,form_goals_for,form_goals_against
Alaves,1.8,1.8
Albacete,0.8,1.5
Almeria,1.6,1.8
Arsenal,1.5,0.6
Aston Villa,1.8,1.9
Ath Bilbao,1.3,1.8
Ath Madrid,1.5,1.9
Barcelona,1.8,0.8
Barnsley,1.2,1.9
Betis,1.6,1.3
Birmingham,1.0,1.9
Blackburn,0.8,1.8
Blackpool,1.3,2.3
Bolton,1.5,2.0
Bournemouth,1.4,0.8
Bradford,1.2,1.7
Brentford,1.1,1.2
Brighton,1.4,1.1
Burnley,0.6,1.9
Cadiz,0.6,1.7
Cardiff,0.9,1.4
Celta,1.5,1.7
Charlton,1.0,1.3
Chelsea,0.9,1.9
Compostela,2.0,1.8
Cordoba,0.2,2.2
Coventry,1.0,1.5
Crystal Palace,1.1,1.7
Derby,0.7,3.2
Eibar,0.7,1.9
Elche,1.3,1.2
Espanol,0.8,1.3
Everton,1.5,1.7
Extremadura,0.9,0.9
Fulham,0.7,0.9
Getafe,0.9,0.8
Gimnastic,0.5,1.8
Girona,0.8,1.2
Granada,0.8,2.1
Hercules,1.1,1.7
Huddersfield,0.7,2.6
Huesca,0.8,0.9
Hull,1.1,2.6
Ipswich,1.0,2.4
La Coruna,1.3,1.7
Las Palmas,0.8,1.4
Leeds,1.2,0.9
Leganes,1.3,1.3
Leicester,0.8,1.8
Lerida,0.8,1.0
Levante,1.7,1.5
Liverpool,1.6,1.6
Logrones,0.7,2.0
Luton,1.1,2.6
Malaga,0.8,1.6
Mallorca,1.4,1.2
Man City,2.0,1.0
Man United,1.9,1.2
Merida,0.5,1.0
Middlesbrough,0.7,2.0
Murcia,1.4,2.0
Newcastle,1.3,1.3
Norwich,0.6,2.3
Nott'm Forest,2.2,1.0
Numancia,0.8,1.3
Oldham,1.4,1.7
Osasuna,1.1,1.5
Oviedo,0.8,1.6
Portsmouth,1.0,1.9
QPR,1.3,2.4
Reading,0.9,1.9
Real Madrid,1.7,1.1
Recreativo,0.7,1.7
Salamanca,0.7,1.6
Santander,0.6,2.0
Sevilla,0.9,1.3
Sheffield United,1.1,3.0
Sheffield Weds,1.1,1.5
Sociedad,1.6,1.9
Southampton,0.6,1.8
Sp Gijon,1.1,1.5
Stoke,0.7,1.4
Sunderland,1.3,1.4
Swansea,0.7,1.5
Swindon,1.1,2.7
Tenerife,1.2,1.7
Tottenham,1.0,1.4
Valencia,1.6,1.3
Valladolid,0.8,2.7
Vallecano,1.3,1.0
Villareal,1.4,2.2
Villarreal,2.1,1.3
Watford,0.7,2.3
West Brom,1.5,2.0
West Ham,1.2,1.1
Wigan,1.4,1.8
Wimbledon,0.7,2.4
Wolves,0.9,1.7
Xerez,1.7,1.6
Zaragoza,1.2,2.0
