team_a,team_b,mean_diff_team_a,count
Alaves,Almeria,2.0,2
Alaves,Ath Bilbao,-0.6333333333333333,30
Alaves,Ath Madrid,-0.5,26
Alaves,Barcelona,-1.6333333333333333,30
Alaves,Betis,-0.21428571428571427,28
Alaves,Cadiz,-0.125,8
Alaves,Celta,-0.26666666666666666,30
Alaves,Eibar,0.0,10
Alaves,Elche,0.16666666666666666,6
Alaves,Espanol,-0.11538461538461539,26
Alaves,Extremadura,-1.0,2
Alaves,Getafe,-0.6111111111111112,18
Alaves,Girona,-0.3,10
Alaves,Granada,-0.5,10
Alaves,Huesca,0.75,4
Alaves,La Coruna,-0.1875,16
Alaves,Las Palmas,0.9166666666666666,12
Alaves,Leganes,-0.2,10
Alaves,Levante,0.3333333333333333,12
Alaves,Malaga,0.2857142857142857,14
Alaves,Mallorca,-0.5909090909090909,22
Alaves,Numancia,-0.75,4
Alaves,Osasuna,-0.6818181818181818,22
Alaves,Oviedo,0.5,8
Alaves,Real Madrid,-1.9333333333333333,30
Alaves,Recreativo,1.0,2
Alaves,Salamanca,0.0,2
Alaves,Santander,-0.1,10
Alaves,Sevilla,-0.3076923076923077,26
Alaves,Sociedad,-0.23333333333333334,30
Alaves,Sp Gijon,1.0,2
Alaves,Tenerife,1.5,4
Alaves,Valencia,-0.5666666666666667,30
Alaves,Valladolid,0.7222222222222222,18
Alaves,Vallecano,-0.2222222222222222,18
Alaves,Villareal,-0.5,2
Alaves,Villarreal,-0.38461538461538464,26
Alaves,Zaragoza,-0.3,10
Albacete,Ath Bilbao,0.1111111111111111,9
Albacete,Ath Madrid,-1.1,10
Albacete,Barcelona,-1.3,10
Albacete,Betis,-0.125,8
Albacete,Celta,0.125,8
Albacete,Compostela,-0.75,4
Albacete,Espanol,-0.5,8
Albacete,La Coruna,-2.1,10
Albacete,Lerida,1.0,2
Albacete,Levante,1.0,2
Albacete,Logrones,0.0,4
Albacete,Malaga,-0.5,2
Albacete,Mallorca,0.6666666666666666,3
Albacete,Merida,1.0,2
Albacete,Murcia,0.0,2
Albacete,Numancia,0.0,1
Albacete,Osasuna,-0.6666666666666666,6
Albacete,Oviedo,1.0,6
Albacete,Real Madrid,-1.125,8
Albacete,Salamanca,1.0,2
Albacete,Santander,0.9,10
Albacete,Sevilla,-0.7,10
Albacete,Sociedad,-0.7,10
Albacete,Sp Gijon,-1.0,6
Albacete,Tenerife,0.16666666666666666,6
Albacete,Valencia,-0.7,10
Albacete,Valladolid,-0.125,8
Albacete,Vallecano,-0.75,4
Albacete,Villarreal,0.0,4
