team,last_match_date
Alaves,2026-05-23
Albacete,2005-05-29
Almeria,2024-05-25
Arsenal,2026-05-24
Aston Villa,2026-05-24
Ath Bilbao,2026-05-23
Ath Madrid,2026-05-24
Barcelona,2026-05-23
Barnsley,1998-05-10
Betis,2026-05-23
Birmingham,2011-05-22
Blackburn,2012-05-13
Blackpool,2011-05-22
Bolton,2012-05-13
Bournemouth,2026-05-24
Bradford,2001-05-19
Brentford,2026-05-24
Brighton,2026-05-24
Burnley,2026-05-24
Cadiz,2024-05-25
Cardiff,2019-05-12
Celta,2026-05-23
Charlton,2007-05-13
Chelsea,2026-05-24
Compostela,1998-05-15
Cordoba,2015-05-23
Coventry,2001-05-19
Crystal Palace,2026-05-24
Derby,2008-05-11
Eibar,2021-05-22
Elche,2026-05-23
Espanol,2026-05-23
Everton,2026-05-24
Extremadura,1999-06-20
Fulham,2026-05-24
Getafe,2026-05-23
Gimnastic,2007-06-17
Girona,2026-05-23
Granada,2024-05-24
Hercules,2011-05-21
Huddersfield,2019-05-12
Huesca,2021-05-22
Hull,2017-05-21
Ipswich,2025-05-25
La Coruna,2018-05-20
Las Palmas,2025-05-24
Leeds,2026-05-24
Leganes,2025-05-24
Leicester,2025-05-25
Lerida,1994-05-15
Levante,2026-05-23
Liverpool,2026-05-24
Logrones,1997-06-22
Luton,2024-05-19
Malaga,2018-05-19
Mallorca,2026-05-23
Man City,2026-05-24
Man United,2026-05-24
Merida,1998-05-15
Middlesbrough,2017-05-21
Murcia,2008-05-17
Newcastle,2026-05-24
Norwich,2022-05-22
Nott'm Forest,2026-05-24
Numancia,2009-05-31
Oldham,1994-05-07
Osasuna,2026-05-23
Oviedo,2026-05-23
Portsmouth,2010-05-09
QPR,2015-05-24
Reading,2013-05-19
Real Madrid,2026-05-23
Recreativo,2009-05-31
Salamanca,1999-06-19
Santander,2012-05-13
Sevilla,2026-05-23
Sheffield United,2024-05-19
Sheffield Weds,2000-05-14
Sociedad,2026-05-23
Southampton,2025-05-25
Sp Gijon,2017-05-20
Stoke,2018-05-13
Sunderland,2026-05-24
Swansea,2018-05-13
Swindon,1994-05-07
Tenerife,2010-05-16
Tottenham,2026-05-24
Valencia,2026-05-23
Valladolid,2025-05-24
Vallecano,2026-05-23
Villareal,1999-06-20
Villarreal,2026-05-24
Watford,2022-05-22
West Brom,2021-05-23
West Ham,2026-05-24
Wigan,2013-05-19
Wimbledon,2000-05-14
Wolves,2026-05-24
Xerez,2010-05-16
Zaragoza,2013-06-01
