team,squad_value
Alaves,179125000.0
Almeria,127575000.0
Arsenal,1509475000.0
Aston Villa,856950000.0
Ath Bilbao,331875000.0
Ath Madrid,1022600000.0
Barcelona,1620175000.0
Betis,448650000.0
Bournemouth,668950000.0
Brentford,593800000.0
Brighton,721125000.0
Burnley,373375000.0
Cadiz,81750000.0
Cardiff,94950000.0
Celta,297050000.0
Chelsea,1747925000.0
Cordoba,23800000.0
Crystal Palace,660960000.0
Eibar,85750000.0
Elche,147775000.0
Espanol,208250000.0
Everton,661175000.0
Fulham,533000000.0
Getafe,196150000.0
Girona,291400000.0
Granada,153600000.0
Huddersfield,109800000.0
Huesca,45750000.0
Hull,71900000.0
Ipswich,262000000.0
La Coruna,48850000.0
Las Palmas,159750000.0
Leeds,492425000.0
Leganes,89785000.0
Leicester,421300000.0
Levante,136925000.0
Liverpool,1509825000.0
Luton,132900000.0
Malaga,39300000.0
Mallorca,178650000.0
Man City,1606675000.0
Man United,1158550000.0
Middlesbrough,93950000.0
Newcastle,854175000.0
Norwich,188275000.0
Nott'm Forest,833800000.0
Osasuna,139760000.0
Oviedo,63850000.0
QPR,41050000.0
Reading,24550000.0
Real Madrid,1434325000.0
Sevilla,529125000.0
Sheffield United,200825000.0
Sociedad,356275000.0
Southampton,494650000.0
Sp Gijon,40550000.0
Stoke,150325000.0
Sunderland,500425000.0
Swansea,102390000.0
Tottenham,1199350000.0
Valencia,301425000.0
Valladolid,133525000.0
Vallecano,143375000.0
Villarreal,397500000.0
Watford,223175000.0
West Brom,175775000.0
West Ham,753475000.0
Wigan,32750000.0
Wolves,540575000.0
Zaragoza,13300000.0
