date,home_team,away_team,home_score,away_score,team_a,team_b
1993-08-14,Oldham,Ipswich,0.0,3.0,Ipswich,Oldham
1993-08-14,Sheffield United,Swindon,3.0,1.0,Sheffield United,Swindon
1993-08-18,Swindon,Oldham,0.0,1.0,Oldham,Swindon
1993-08-21,Blackburn,Oldham,1.0,0.0,Blackburn,Oldham
1993-08-22,Swindon,Liverpool,0.0,5.0,Liverpool,Swindon
1993-08-24,Oldham,Coventry,3.0,3.0,Coventry,Oldham
1993-08-24,Sheffield United,Wimbledon,2.0,1.0,Sheffield United,Wimbledon
1993-08-25,Norwich,Ipswich,1.0,0.0,Ipswich,Norwich
1993-08-25,Southampton,Swindon,5.0,1.0,Southampton,Swindon
1993-08-28,Sheffield United,Ipswich,1.0,1.0,Ipswich,Sheffield United
1993-08-28,Norwich,Swindon,0.0,0.0,Norwich,Swindon
1993-08-28,Oldham,Wimbledon,1.0,1.0,Oldham,Wimbledon
1993-08-30,Leeds,Oldham,1.0,0.0,Leeds,Oldham
1993-09-01,QPR,Sheffield United,2.0,1.0,QPR,Sheffield United
1993-09-01,Sheffield Weds,Norwich,3.0,3.0,Norwich,Sheffield Weds
1993-09-01,Swindon,Man City,1.0,3.0,Man City,Swindon
1993-09-05,Tenerife,Lerida,1.0,0.0,Lerida,Tenerife
1993-09-11,West Ham,Swindon,0.0,0.0,Swindon,West Ham
1993-09-11,Oldham,Everton,0.0,1.0,Everton,Oldham
1993-09-11,Norwich,Wimbledon,0.0,1.0,Norwich,Wimbledon
1993-09-12,Lerida,Ath Bilbao,1.0,2.0,Ath Bilbao,Lerida
1993-09-18,Tottenham,Oldham,5.0,0.0,Oldham,Tottenham
1993-09-18,Swindon,Newcastle,2.0,2.0,Newcastle,Swindon
1993-09-18,Leeds,Sheffield United,2.0,1.0,Leeds,Sheffield United
1993-09-19,Lerida,Vallecano,0.0,1.0,Lerida,Vallecano
1993-09-25,Oldham,Aston Villa,1.0,1.0,Aston Villa,Oldham
1993-09-25,Man United,Swindon,4.0,2.0,Man United,Swindon
1993-09-26,Logrones,Lerida,2.0,1.0,Lerida,Logrones
1993-10-02,Norwich,Coventry,1.0,0.0,Coventry,Norwich
1993-10-02,Swindon,Blackburn,1.0,3.0,Blackburn,Swindon
1993-10-02,QPR,Ipswich,3.0,0.0,Ipswich,QPR
1993-10-03,Vallecano,Logrones,3.0,1.0,Logrones,Vallecano
1993-10-03,Lerida,Valencia,1.0,1.0,Lerida,Valencia
1993-10-04,Man City,Oldham,1.0,1.0,Man City,Oldham
1993-10-06,Celta,Lerida,1.0,0.0,Celta,Lerida
1993-10-16,Swindon,Everton,1.0,1.0,Everton,Swindon
1993-10-16,Liverpool,Oldham,2.0,1.0,Liverpool,Oldham
1993-10-17,Lerida,Sp Gijon,1.0,1.0,Lerida,Sp Gijon
1993-10-18,Blackburn,Sheffield United,0.0,0.0,Blackburn,Sheffield United
1993-10-23,Tottenham,Swindon,1.0,1.0,Swindon,Tottenham
1993-10-23,Sheffield United,Sheffield Weds,1.0,1.0,Sheffield United,Sheffield Weds
1993-10-23,Oldham,Arsenal,0.0,0.0,Arsenal,Oldham
1993-10-24,Real Madrid,Lerida,5.0,0.0,Lerida,Real Madrid
1993-10-25,Wimbledon,Ipswich,0.0,2.0,Ipswich,Wimbledon
1993-10-30,Swindon,Aston Villa,1.0,2.0,Aston Villa,Swindon
1993-10-30,Chelsea,Oldham,0.0,1.0,Chelsea,Oldham
1993-10-31,Lerida,Sevilla,0.0,3.0,Lerida,Sevilla
1993-10-31,Coventry,Sheffield United,0.0,0.0,Coventry,Sheffield United
1993-11-06,Wimbledon,Swindon,3.0,0.0,Swindon,Wimbledon
1993-11-06,Sheffield United,Norwich,1.0,2.0,Norwich,Sheffield United
1993-11-06,Ipswich,Sheffield Weds,1.0,4.0,Ipswich,Sheffield Weds
1993-11-07,Sociedad,Lerida,1.0,3.0,Lerida,Sociedad
1993-11-08,Oldham,Newcastle,1.0,3.0,Newcastle,Oldham
1993-11-10,Lerida,Albacete,0.0,1.0,Albacete,Lerida
1993-11-20,West Ham,Oldham,2.0,0.0,Oldham,West Ham
1993-11-20,Swindon,Ipswich,2.0,2.0,Ipswich,Swindon
1993-11-21,Barcelona,Lerida,0.0,1.0,Barcelona,Lerida
1993-11-21,Albacete,Vallecano,1.0,1.0,Albacete,Vallecano
1993-11-24,Swindon,QPR,1.0,0.0,QPR,Swindon
1993-11-24,Sheffield Weds,Oldham,3.0,0.0,Oldham,Sheffield Weds
1993-11-27,Oldham,Norwich,2.0,1.0,Norwich,Oldham
1993-11-27,Leeds,Swindon,3.0,0.0,Leeds,Swindon
1993-11-28,Lerida,Zaragoza,0.0,1.0,Lerida,Zaragoza
1993-11-28,Logrones,Albacete,2.0,2.0,Albacete,Logrones
1993-12-04,Swindon,Sheffield United,0.0,0.0,Sheffield United,Swindon
