position,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,league,season
1,Arsenal,38,26,7,5,71.0,27.0,44.0,85,EPL,2526
2,Man City,38,23,9,6,77.0,35.0,42.0,78,EPL,2526
3,Man United,38,20,11,7,69.0,50.0,19.0,71,EPL,2526
4,Aston Villa,38,19,8,11,56.0,49.0,7.0,65,EPL,2526
5,Liverpool,38,17,9,12,63.0,53.0,10.0,60,EPL,2526
6,Bournemouth,38,13,18,7,58.0,54.0,4.0,57,EPL,2526
7,Sunderland,38,14,12,12,42.0,48.0,-6.0,54,EPL,2526
8,Brighton,38,14,11,13,52.0,46.0,6.0,53,EPL,2526
9,Brentford,38,14,11,13,55.0,52.0,3.0,53,EPL,2526
10,Chelsea,38,14,10,14,58.0,52.0,6.0,52,EPL,2526
11,Fulham,38,15,7,16,47.0,51.0,-4.0,52,EPL,2526
12,Newcastle,38,14,7,17,53.0,55.0,-2.0,49,EPL,2526
13,Everton,38,13,10,15,47.0,50.0,-3.0,49,EPL,2526
14,Leeds,38,11,14,13,49.0,56.0,-7.0,47,EPL,2526
15,Crystal Palace,38,11,12,15,41.0,51.0,-10.0,45,EPL,2526
16,Nott'm Forest,38,11,11,16,48.0,51.0,-3.0,44,EPL,2526
17,Tottenham,38,10,11,17,48.0,57.0,-9.0,41,EPL,2526
18,West Ham,38,10,9,19,46.0,65.0,-19.0,39,EPL,2526
19,Burnley,38,4,10,24,38.0,75.0,-37.0,22,EPL,2526
20,Wolves,38,3,11,24,27.0,68.0,-41.0,20,EPL,2526
1,Barcelona,38,31,1,6,95.0,36.0,59.0,94,La Liga,2526
2,Real Madrid,38,27,5,6,77.0,35.0,42.0,86,La Liga,2526
3,Villarreal,38,22,6,10,72.0,46.0,26.0,72,La Liga,2526
4,Ath Madrid,38,21,6,11,62.0,44.0,18.0,69,La Liga,2526
5,Betis,38,15,15,8,59.0,48.0,11.0,60,La Liga,2526
6,Celta,38,14,12,12,53.0,48.0,5.0,54,La Liga,2526
7,Getafe,38,15,6,17,32.0,38.0,-6.0,51,La Liga,2526
8,Vallecano,38,12,14,12,41.0,44.0,-3.0,50,La Liga,2526
9,Valencia,38,13,10,15,46.0,55.0,-9.0,49,La Liga,2526
10,Sociedad,38,11,13,14,59.0,61.0,-2.0,46,La Liga,2526
11,Espanol,38,12,10,16,43.0,55.0,-12.0,46,La Liga,2526
12,Ath Bilbao,38,13,6,19,43.0,58.0,-15.0,45,La Liga,2526
13,Elche,38,10,13,15,49.0,57.0,-8.0,43,La Liga,2526
14,Alaves,38,11,10,17,44.0,56.0,-12.0,43,La Liga,2526
15,Sevilla,38,12,7,19,46.0,60.0,-14.0,43,La Liga,2526
16,Osasuna,38,11,9,18,44.0,50.0,-6.0,42,La Liga,2526
17,Mallorca,38,11,9,18,47.0,57.0,-10.0,42,La Liga,2526
18,Levante,38,11,9,18,47.0,61.0,-14.0,42,La Liga,2526
19,Girona,38,9,14,15,39.0,55.0,-16.0,41,La Liga,2526
20,Oviedo,38,6,11,21,26.0,60.0,-34.0,29,La Liga,2526
