team,rating,as_of_date
Afghanistan,1033.0,2025-12-13
Albania,1664.0,2025-12-13
Algeria,1726.0,2025-12-13
Andorra,1083.0,2025-12-13
Angola,1566.0,2025-12-13
Anguilla,646.0,2025-12-13
Antigua and Barbuda,895.0,2025-12-13
Argentina,2113.0,2025-12-13
Armenia,1389.0,2025-12-13
Aruba,949.0,2025-12-13
Australia,1774.0,2025-12-13
Austria,1818.0,2025-12-13
Azerbaijan,1339.0,2025-12-13
Bahamas,719.0,2025-12-13
Bahrain,1417.0,2025-12-13
Bangladesh,940.0,2025-12-13
Barbados,921.0,2025-12-13
Belarus,1496.0,2025-12-13
Belgium,1849.0,2025-12-13
Belize,1103.0,2025-12-13
Benin,1436.0,2025-12-13
Bermuda,1121.0,2025-12-13
Bhutan,614.0,2025-12-13
Bolivia,1675.0,2025-12-13
Bonaire,822.0,2025-12-13
Bosnia and Herzegovina,1571.0,2025-12-13
Botswana,1319.0,2025-12-13
Brazil,1979.0,2025-12-13
British Guiana,1248.0,1959-03-09
British Virgin Islands,693.0,2025-12-13
Brunei,655.0,2025-12-13
Bulgaria,1452.0,2025-12-13
Burkina Faso,1547.0,2025-12-13
Burma,1299.0,1983-05-29
Burundi,1238.0,2025-12-13
Cambodia,846.0,2025-12-13
Cameroon,1559.0,2025-12-13
Canada,1802.0,2025-12-13
Cape Verde,1560.0,2025-12-13
Cayman Islands,806.0,2025-12-13
Central African Republic,1238.0,2025-12-13
Ceylon,1022.0,1964-01-12
Chad,1119.0,2025-12-13
Chagos Islands,785.0,2025-12-13
Chile,1731.0,2025-12-13
China,1403.0,2025-12-13
Christmas Island,578.0,2025-12-13
Cocos Islands,422.0,2025-12-13
Colombia,1998.0,2025-12-13
Comoros,1359.0,2025-12-13
Congo,1206.0,2025-12-13
Congo-Brazzaville,1608.0,1963-04-14
Cook Islands,622.0,2025-12-13
Costa Rica,1633.0,2025-12-13
Croatia,1933.0,2025-12-13
Cuba,1230.0,2025-12-13
Curaçao,1467.0,2025-12-13
Cyprus,1302.0,2025-12-13
Czechia,1731.0,2025-12-13
Czechoslovakia,1864.0,1992-04-22
Dahomey,1518.0,1964-10-03
Democratic Republic of Congo,1616.0,2025-12-13
Denmark,1864.0,2025-12-13
Djibouti,915.0,2025-12-13
Dominica,940.0,2025-12-13
Dominican Republic,1294.0,2025-12-13
East Germany,1764.0,1990-05-13
East Timor,682.0,2025-12-13
Eastern Samoa,389.0,2025-12-13
Ecuador,1933.0,2025-12-13
Egypt,1591.0,2025-12-13
El Salvador,1324.0,2025-12-13
England,2042.0,2025-12-13
Equatorial Guinea,1437.0,2025-12-13
Eritrea,1141.0,2025-12-13
Estonia,1359.0,2025-12-13
Eswatini,1210.0,2025-12-13
Ethiopia,1264.0,2025-12-13
Falkland Islands,571.0,2025-12-13
Faroe Islands,1380.0,2025-12-13
Federated States of Micronesia,563.0,2025-12-13
Fiji,1109.0,2025-12-13
Finland,1509.0,2025-12-13
France,2062.0,2025-12-13
French Guiana,1221.0,2025-12-13
Gabon,1467.0,2025-12-13
Gambia,1424.0,2025-12-13
Georgia,1650.0,2025-12-13
Germany,1910.0,2025-12-13
Ghana,1509.0,2025-12-13
Gibraltar,1017.0,2025-12-13
Greece,1761.0,2025-12-13
Greenland,946.0,2025-12-13
Grenada,1122.0,2025-12-13
Guadeloupe,1338.0,2025-12-13
Guam,714.0,2025-12-13
Guatemala,1528.0,2025-12-13
Guinea,1485.0,2025-12-13
Guinea-Bissau,1244.0,2025-12-13
Guyana,1275.0,2025-12-13
Haiti,1542.0,2025-12-13
Honduras,1567.0,2025-12-13
Hong Kong,1136.0,2025-12-13
Hungary,1698.0,2025-12-13
Iceland,1566.0,2025-12-13
India,1123.0,2025-12-13
Indonesia,1341.0,2025-12-13
Iran,1754.0,2025-12-13
Iraq,1582.0,2025-12-13
Ireland,1688.0,2025-12-13
Israel,1631.0,2025-12-13
Italy,1859.0,2025-12-13
Ivory Coast,1607.0,2025-12-13
Jamaica,1527.0,2025-12-13
Japan,1878.0,2025-12-13
Jordan,1687.0,2025-12-13
Kazakhstan,1410.0,2025-12-13
Kenya,1344.0,2025-12-13
Khmer Republic,1249.0,1973-08-07
Kiribati,544.0,2025-12-13
Kosovo,1714.0,2025-12-13
Kurdistan,1425.0,2025-12-13
Kuwait,1330.0,2025-12-13
Kyrgyzstan,1313.0,2025-12-13
Laos,707.0,2025-12-13
Latvia,1286.0,2025-12-13
Lebanon,1332.0,2025-12-13
Lesotho,1215.0,2025-12-13
Liberia,1299.0,2025-12-13
Libya,1424.0,2025-12-13
Liechtenstein,900.0,2025-12-13
Lithuania,1276.0,2025-12-13
Luxembourg,1395.0,2025-12-13
Macao,595.0,2025-12-13
Macedonia,1517.0,2018-03-27
Madagascar,1369.0,2025-12-13
Malawi,1252.0,2025-12-13
Malaya,1467.0,1962-09-16
Malaysia,1314.0,2025-12-13
Maldives,841.0,2025-12-13
Mali,1612.0,2025-12-13
Malta,1279.0,2025-12-13
Marshall Islands,559.0,2025-12-13
Martinique,1340.0,2025-12-13
