team_a,team_b,mean_diff_team_a,count
Abkhazia,Artsakh,-1.0,3
Abkhazia,Chagos Islands,9.0,1
Abkhazia,Chameria,1.0,2
Abkhazia,Donetsk PR,0.0,3
Abkhazia,Kabylia,2.0,1
Abkhazia,Kárpátalja,-1.0,2
Abkhazia,Luhansk PR,1.0,1
Abkhazia,Northern Cyprus,0.6666666666666666,3
Abkhazia,Occitania,-0.5,2
Abkhazia,Padania,0.0,2
Abkhazia,Panjab,0.0,1
Abkhazia,South Ossetia,1.3333333333333333,3
Abkhazia,Székely Land,-2.0,1
Abkhazia,Sápmi,1.3333333333333333,3
Abkhazia,Tamil Eelam,6.0,1
Abkhazia,Tibet,3.0,1
Abkhazia,United Koreans in Japan,2.0,1
Abkhazia,Western Armenia,0.5,2
Afghanistan,Bangladesh,0.4444444444444444,9
Afghanistan,Bhutan,2.6666666666666665,6
Afghanistan,Cambodia,0.8,5
Afghanistan,China,-6.0,1
Afghanistan,Hong Kong,-1.0,3
Afghanistan,India,-1.2857142857142858,14
Afghanistan,Indonesia,1.0,2
Afghanistan,Iran,-4.5,2
Afghanistan,Iraq,-3.0,2
Afghanistan,Japan,-4.333333333333333,3
Afghanistan,Jordan,-2.6666666666666665,3
Afghanistan,Kuwait,-2.0,3
Afghanistan,Kyrgyzstan,0.75,4
Afghanistan,Laos,0.6666666666666666,3
Afghanistan,Lebanon,-2.0,1
Afghanistan,Malaysia,-2.3333333333333335,3
Afghanistan,Maldives,-0.7142857142857143,7
Afghanistan,Mongolia,1.0,3
Afghanistan,Myanmar,-1.0,1
Afghanistan,Nepal,-1.1428571428571428,7
Afghanistan,North Korea,-2.0,1
Afghanistan,Oman,-2.0,3
Afghanistan,Pakistan,-0.4,10
Afghanistan,Palestine,-1.3333333333333333,3
Afghanistan,Philippines,-0.3333333333333333,3
Afghanistan,Qatar,-3.2857142857142856,7
Afghanistan,Saudi Arabia,-4.0,2
Afghanistan,Singapore,0.25,4
Afghanistan,South Korea,-6.0,1
Afghanistan,Sri Lanka,1.375,8
Afghanistan,Syria,-2.8,5
Afghanistan,Taiwan,0.0,1
Afghanistan,Tajikistan,-1.8571428571428572,7
Afghanistan,Thailand,-2.0,2
Afghanistan,Turkmenistan,-3.6,5
Afghanistan,Vietnam,-0.6666666666666666,3
Albania,Algeria,3.0,1
Albania,Andorra,1.2222222222222223,9
Albania,Argentina,-4.0,1
Albania,Armenia,0.8333333333333334,6
Albania,Austria,-2.4285714285714284,7
Albania,Azerbaijan,0.6666666666666666,6
Albania,Bahrain,-3.0,1
Albania,Belarus,0.0,7
Albania,Belgium,0.0,2
Albania,Bosnia and Herzegovina,-0.2,5
Albania,Bulgaria,-0.4166666666666667,12
Albania,Cameroon,0.0,1
Albania,Chile,-3.0,1
Albania,China,-0.5,2
Albania,Croatia,0.0,1
Albania,Cuba,0.0,1
Albania,Cyprus,0.8333333333333334,6
Albania,Czech Republic,-0.2,5
Albania,Czechoslovakia,-0.6666666666666666,3
Albania,Denmark,-1.5,10
Albania,England,-2.75,8
Albania,Estonia,0.5,4
Albania,Faroe Islands,1.0,2
Albania,Finland,-0.2857142857142857,7
Albania,France,-1.7777777777777777,9
Albania,Georgia,-0.5882352941176471,17
Albania,German DR,-1.6666666666666667,3
Albania,Germany,-2.0,14
Albania,Gibraltar,1.0,1
Albania,Greece,-0.23076923076923078,13
Albania,Hungary,-2.125,8
Albania,Iceland,-0.1111111111111111,9
Albania,Iran,1.0,1
Albania,Israel,-0.5714285714285714,7
Albania,Italy,-1.4,5
Albania,Jordan,1.0,2
Albania,Kazakhstan,1.0,4
Albania,Kosovo,-0.6666666666666666,3
Albania,Latvia,0.14285714285714285,7
Albania,Liechtenstein,2.25,4
Albania,Lithuania,0.0,6
Albania,Luxembourg,0.625,8
Albania,Malta,1.375,8
Albania,Mexico,-4.0,1
Albania,Moldova,1.7142857142857142,7
Albania,Montenegro,2.3333333333333335,3
Albania,Morocco,0.0,1
Albania,Netherlands,-1.5,4
Albania,North Macedonia,-0.5,10
Albania,Northern Ireland,-0.8888888888888888,9
Albania,Norway,-0.2,5
Albania,Poland,-0.6875,16
Albania,Portugal,-1.1428571428571428,7
Albania,Qatar,0.6666666666666666,3
Albania,Republic of Ireland,-1.0,4
Albania,Romania,-1.8235294117647058,17
Albania,Russia,-0.5,2
Albania,San Marino,3.25,4
Albania,Saudi Arabia,0.0,1
Albania,Scotland,-3.0,2
Albania,Serbia,0.5,4
Albania,Slovenia,-0.5714285714285714,7
Albania,Spain,-3.2222222222222223,9
Albania,Sweden,-1.0,6
Albania,Switzerland,-1.1428571428571428,7
Albania,Turkey,0.08333333333333333,12
Albania,Ukraine,-1.1111111111111112,9
Albania,Uzbekistan,1.0,1
Albania,Vietnam,5.0,1
Albania,Wales,-0.25,4
Albania,Yugoslavia,-1.8,5
Alderney,Falkland Islands,0.0,2
Alderney,Felvidék,-1.0,1
Alderney,Gibraltar,-5.0,1
Alderney,Greenland,-3.0,1
Alderney,Guernsey,-3.90625,64
Alderney,Hitra,-3.0,2
Alderney,Isle of Man,-6.0,2
Alderney,Isle of Wight,-4.0,1
Alderney,Jersey,-4.918367346938775,49
Alderney,Menorca,-6.0,1
Alderney,Orkney,-1.3333333333333333,3
Alderney,Panjab,-8.0,1
Alderney,Raetia,-1.0,1
Alderney,Saare County,1.0,1
Alderney,Sealand,-0.3333333333333333,3
Alderney,Western Isles,-1.0,1
Alderney,Ynys Môn,-5.0,1
Algeria,Angola,0.1,10
Algeria,Argentina,-2.0,2
Algeria,Armenia,2.0,1
Algeria,Austria,-1.0,2
Algeria,Bahrain,2.0,2
Algeria,Belgium,-1.0,3
Algeria,Benin,1.1818181818181819,11
Algeria,Bolivia,2.5,2
Algeria,Bosnia and Herzegovina,-1.0,1
Algeria,Botswana,2.5,4
Algeria,Brazil,-2.0,4
Algeria,Bulgaria,-0.5,6
Algeria,Burkina Faso,0.6666666666666666,24
Algeria,Burundi,1.3333333333333333,6
Algeria,Cameroon,0.07692307692307693,13
Algeria,Canada,1.0,1
Algeria,Cape Verde,1.1666666666666667,6
Algeria,Central African Republic,1.0,3
Algeria,Chad,1.5,2
Algeria,Chile,1.0,1
Algeria,China,-1.0,1
Algeria,Colombia,3.0,1
Algeria,Congo,2.0,3
Algeria,DR Congo,0.7142857142857143,7
Algeria,Denmark,0.0,1
Algeria,Djibouti,6.0,2
Algeria,Egypt,-0.043478260869565216,23
Algeria,England,0.0,1
Algeria,Equatorial Guinea,0.75,4
Algeria,Ethiopia,1.125,8
Algeria,Finland,2.0,1
Algeria,France,-3.0,1
Algeria,Gabon,-0.7142857142857143,7
Algeria,Gambia,0.5,8
Algeria,German DR,-2.5,4
Algeria,Germany,0.6666666666666666,3
Algeria,Ghana,0.09090909090909091,11
Algeria,Guatemala,7.0,1
Algeria,Guinea,0.06666666666666667,15
Algeria,Guinea-Bissau,2.5,2
Algeria,Hungary,-1.5,2
Algeria,Indonesia,-0.3333333333333333,3
Algeria,Iran,0.3333333333333333,3
Algeria,Iraq,-0.5,8
Algeria,Italy,-1.0,1
Algeria,Ivory Coast,-0.08695652173913043,23
Algeria,Japan,-1.0,1
Algeria,Jordan,2.3333333333333335,3
Algeria,Kenya,0.625,8
Algeria,Kuwait,-2.0,1
Algeria,Lebanon,1.6666666666666667,3
Algeria,Lesotho,4.0,2
Algeria,Liberia,2.125,8
Algeria,Libya,0.9375,16
Algeria,Luxembourg,0.0,1
Algeria,Madagascar,1.5,2
Algeria,Malawi,1.0,7
Algeria,Malaysia,0.0,1
Algeria,Mali,0.6086956521739131,23
Algeria,Malta,0.6666666666666666,3
Algeria,Mauritania,2.4444444444444446,9
Algeria,Mexico,-1.0,2
Algeria,Morocco,-0.34615384615384615,26
Algeria,Mozambique,3.0,3
Algeria,Namibia,1.75,4
Algeria,Netherlands,1.0,1
Algeria,Niger,2.6666666666666665,9
Algeria,Nigeria,0.0,22
Algeria,North Korea,-2.0,1
Algeria,Northern Ireland,0.0,1
Algeria,Oman,3.0,1
Algeria,Palestine,2.0,2
Algeria,Peru,0.0,1
Algeria,Poland,-2.5,2
Algeria,Portugal,-3.0,1
Algeria,Qatar,0.8333333333333334,6
Algeria,Republic of Ireland,-0.5,2
Algeria,Romania,0.2,5
Algeria,Russia,0.0,2
Algeria,Rwanda,1.5,8
Algeria,Saudi Arabia,0.0,6
Algeria,Senegal,0.72,25
Algeria,Serbia,-3.0,1
Algeria,Seychelles,3.0,2
Algeria,Sierra Leone,0.5,6
Algeria,Slovakia,0.0,1
Algeria,Slovenia,0.5,2
Algeria,Somalia,2.5,2
Algeria,South Africa,0.2,5
Algeria,South Korea,0.6666666666666666,3
Algeria,Spain,-3.0,1
Algeria,Sudan,1.5,8
Algeria,Sweden,-1.8333333333333333,6
Algeria,Switzerland,-1.6666666666666667,3
Algeria,Syria,0.6,5
Algeria,Tanzania,1.5,12
Algeria,Togo,1.2857142857142858,7
Algeria,Tunisia,0.21052631578947367,38
Algeria,Turkey,-0.6666666666666666,3
Algeria,Uganda,0.9166666666666666,12
Algeria,United Arab Emirates,0.6666666666666666,6
Algeria,United States,-1.0,1
Algeria,Uruguay,0.5,2
Algeria,Yemen,14.0,1
Algeria,Yemen DPR,3.0,1
Algeria,Yugoslavia,-1.0,1
Algeria,Zambia,0.5625,16
Algeria,Zimbabwe,0.7777777777777778,9
Ambazonia,Chechnya,0.0,1
Ambazonia,Monaco,-3.0,1
Ambazonia,Occitania,-3.0,2
Ambazonia,Romani people,-2.0,1
Ambazonia,Sápmi,-3.0,1
American Samoa,Australia,-31.0,1
American Samoa,Cook Islands,0.3333333333333333,3
American Samoa,Fiji,-9.75,4
American Samoa,Guam,-4.0,2
American Samoa,New Caledonia,-8.25,4
American Samoa,Northern Mariana Islands,-4.0,1
American Samoa,Papua New Guinea,-12.333333333333334,3
American Samoa,Samoa,-4.181818181818182,11
American Samoa,Solomon Islands,-9.75,4
American Samoa,Tahiti,-6.666666666666667,3
American Samoa,Tonga,-2.2,10
American Samoa,Tuvalu,-2.0,2
American Samoa,United States Virgin Islands,-3.0,1
American Samoa,Vanuatu,-9.5,4
American Samoa,Wallis Islands and Futuna,-0.5,2
Andalusia,Chile,1.0,1
Andalusia,China,3.0,1
Andalusia,Estonia,1.0,1
Andalusia,Galicia,-3.0,1
Andalusia,Iraq,2.0,1
Andalusia,Latvia,1.0,1
Andalusia,Madrid,1.0,1
Andalusia,Malta,0.0,1
Andalusia,Morocco,2.0,1
Andalusia,Tunisia,0.0,1
Andalusia,Uruguay,0.0,1
Andalusia,Yugoslavia,0.0,1
Andalusia,Zambia,3.0,1
Andorra,Armenia,-2.25,8
Andorra,Austria,-1.0,1
Andorra,Azerbaijan,-0.2,5
Andorra,Belarus,-1.3333333333333333,6
Andorra,Belgium,-3.25,4
Andorra,Bolivia,-1.0,1
Andorra,Bosnia and Herzegovina,-3.0,2
Andorra,Brazil,-3.0,1
Andorra,Bulgaria,-2.0,2
Andorra,Cape Verde,-0.5,2
Andorra,China,0.0,1
Andorra,Croatia,-4.0,6
Andorra,Cyprus,-2.8,5
Andorra,Czech Republic,-5.5,2
Andorra,England,-3.5,8
Andorra,Equatorial Guinea,-1.0,1
Andorra,Estonia,-1.7692307692307692,13
Andorra,Faroe Islands,-1.0,4
Andorra,Finland,-2.3333333333333335,3
Andorra,France,-2.8,5
Andorra,Gabon,-2.0,1
Andorra,Georgia,-1.5,2
Andorra,Gibraltar,-0.6666666666666666,3
Andorra,Grenada,1.0,1
Andorra,Hungary,-2.3333333333333335,6
Andorra,Iceland,-2.5714285714285716,7
Andorra,Indonesia,-1.0,1
Andorra,Iraq,-1.0,1
Andorra,Israel,-2.5,6
Andorra,Kazakhstan,-2.25,4
Andorra,Kosovo,-2.0,3
Andorra,Latvia,-1.6923076923076923,13
Andorra,Liechtenstein,1.0,5
Andorra,Lithuania,-3.0,2
Andorra,Malta,-0.5,6
Andorra,Moldova,-0.9,10
Andorra,Montenegro,-2.0,1
Andorra,Netherlands,-3.5,6
Andorra,North Macedonia,-1.3333333333333333,6
Andorra,Northern Ireland,-2.0,1
Andorra,Poland,-3.3333333333333335,3
Andorra,Portugal,-4.666666666666667,6
Andorra,Qatar,-1.0,1
Andorra,Republic of Ireland,-2.4,5
Andorra,Romania,-3.3333333333333335,6
Andorra,Russia,-3.1666666666666665,6
Andorra,Saint Kitts and Nevis,0.0,2
Andorra,San Marino,1.75,4
Andorra,Serbia,-2.5,2
Andorra,Slovakia,-1.0,2
Andorra,South Africa,0.0,1
Andorra,Spain,-4.5,2
Andorra,Switzerland,-2.0,4
Andorra,Turkey,-2.5,4
Andorra,Ukraine,-4.25,4
Andorra,United Arab Emirates,0.0,1
Andorra,Wales,-1.5,2
Angola,Argentina,-2.0,2
Angola,Bahrain,3.0,1
Angola,Benin,0.6,5
Angola,Botswana,0.6666666666666666,15
